resourceGroup,resourceType,policyDefinitionReferenceId,policyDefinitionId,ResourceName
,Microsoft.Resources/subscriptions,defenderforstorageshouldbeenabledmonitoring,/providers/microsoft.authorization/policydefinitions/640d2586-54d2-465f-877f-9ffc1d2109f4,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,microsoftdefendercspmshouldbeenabledmonitoringeffect,/providers/microsoft.authorization/policydefinitions/1f90fc71-a595-4066-8974-d4d0802e8ef0,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,azuredefenderforopensourcerelationaldatabasesshouldbeenabledmonitoringeffect,/providers/microsoft.authorization/policydefinitions/0a9fbe0d-c5c4-4da8-87d8-f4fd77338835,220b7d6b-779f-47ec-b306-499ebfdf2dbe
rgrp-lta-bmms-uat-03,Microsoft.Network/virtualNetworks,azurefirewalleffect,/providers/microsoft.authorization/policydefinitions/fc5e4038-4584-4632-8c85-c0448d374b2c,cmt-lta-bmms-uat-application-01
,Microsoft.Resources/subscriptions,azuredefenderforresourcemanagershouldbeenabledmonitoringeffect,/providers/microsoft.authorization/policydefinitions/c3d20c29-b36d-48fe-808b-99a87530ad99,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,containersadvancedthreatprotectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/1c988dd6-ade4-430f-a608-2a3e5b0a6d38,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,appservicesadvancedthreatprotectionmonitoringeffect,/providers/microsoft.authorization/policydefinitions/2913021d-f2fd-4f3d-b958-22354e2bdbcb,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,sqlserversvirtualmachinesadvanceddatasecuritymonitoringeffect,/providers/microsoft.authorization/policydefinitions/6581d072-105e-4418-827f-bd446d56421b,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,sqlserversadvanceddatasecuritymonitoringeffect,/providers/microsoft.authorization/policydefinitions/7fe3b40f-802b-4cdd-8bd4-fd799c948cc2,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,keyvaultsadvanceddatasecuritymonitoringeffect,/providers/microsoft.authorization/policydefinitions/0e6763cc-5078-4e64-889d-ff4d9a839047,220b7d6b-779f-47ec-b306-499ebfdf2dbe
,Microsoft.Resources/subscriptions,enabledefenderforapis,/providers/microsoft.authorization/policydefinitions/7926a6d1-b268-4586-8197-e8ae90c877d7,220b7d6b-779f-47ec-b306-499ebfdf2dbe
